Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,IN,India,SEARO,2.0,2,0.0,0
2020-02-09,IN,India,SEARO,5.0,7,0.0,0
2020-02-16,IN,India,SEARO,0.0,7,0.0,0
2020-02-23,IN,India,SEARO,0.0,7,0.0,0
2020-03-01,IN,India,SEARO,0.0,7,0.0,0
2020-03-08,IN,India,SEARO,32.0,39,0.0,0
2020-03-15,IN,India,SEARO,68.0,107,2.0,2
2020-03-22,IN,India,SEARO,253.0,360,5.0,7
2020-03-29,IN,India,SEARO,619.0,979,18.0,25
2020-04-05,IN,India,SEARO,2395.0,3374,52.0,77
2020-04-12,IN,India,SEARO,4982.0,8356,196.0,273
2020-04-19,IN,India,SEARO,7356.0,15712,234.0,507
2020-04-26,IN,India,SEARO,10784.0,26496,317.0,824
2020-05-03,IN,India,SEARO,13484.0,39980,477.0,1301
2020-05-10,IN,India,SEARO,22959.0,62939,808.0,2109
2020-05-17,IN,India,SEARO,27988.0,90927,763.0,2872
2020-05-24,IN,India,SEARO,40941.0,131868,995.0,3867
2020-05-31,IN,India,SEARO,50275.0,182143,1297.0,5164
2020-06-07,IN,India,SEARO,64485.0,246628,1765.0,6929
2020-06-14,IN,India,SEARO,74294.0,320922,2266.0,9195
2020-06-21,IN,India,SEARO,89539.0,410461,4059.0,13254
2020-06-28,IN,India,SEARO,118398.0,528859,2841.0,16095
2020-07-05,IN,India,SEARO,144306.0,673165,3173.0,19268
2020-07-12,IN,India,SEARO,176388.0,849553,3406.0,22674
2020-07-19,IN,India,SEARO,228065.0,1077618,4142.0,26816
2020-07-26,IN,India,SEARO,307904.0,1385522,5247.0,32063
2020-08-02,IN,India,SEARO,365201.0,1750723,5301.0,37364
2020-08-09,IN,India,SEARO,402287.0,2153010,6015.0,43379
2020-08-16,IN,India,SEARO,436672.0,2589682,6601.0,49980
2020-08-23,IN,India,SEARO,455258.0,3044940,6726.0,56706
2020-08-30,IN,India,SEARO,497793.0,3542733,6792.0,63498
2020-09-06,IN,India,SEARO,571078.0,4113811,7128.0,70626
2020-09-13,IN,India,SEARO,640545.0,4754356,7960.0,78586
2020-09-20,IN,India,SEARO,646263.0,5400619,8166.0,86752
2020-09-27,IN,India,SEARO,591913.0,5992532,7751.0,94503
2020-10-04,IN,India,SEARO,556841.0,6549373,7279.0,101782
2020-10-11,IN,India,SEARO,504433.0,7053806,6552.0,108334
2020-10-18,IN,India,SEARO,440745.0,7494551,5697.0,114031
2020-10-25,IN,India,SEARO,370260.0,7864811,4503.0,118534
2020-11-01,IN,India,SEARO,319271.0,8184082,3577.0,122111
2020-11-08,IN,India,SEARO,323672.0,8507754,4010.0,126121
2020-11-15,IN,India,SEARO,306825.0,8814579,3514.0,129635
2020-11-22,IN,India,SEARO,281227.0,9095806,3592.0,133227
2020-11-29,IN,India,SEARO,297113.0,9392919,3469.0,136696
2020-12-06,IN,India,SEARO,251303.0,9644222,3486.0,140182
2020-12-13,IN,India,SEARO,212807.0,9857029,2837.0,143019
2020-12-20,IN,India,SEARO,174194.0,10031223,2458.0,145477
2020-12-27,IN,India,SEARO,156627.0,10187850,2145.0,147622
2021-01-03,IN,India,SEARO,136115.0,10323965,1813.0,149435
2021-01-10,IN,India,SEARO,126319.0,10450284,1564.0,150999
2021-01-17,IN,India,SEARO,107701.0,10557985,1275.0,152274
2021-01-24,IN,India,SEARO,96548.0,10654533,1065.0,153339
2021-01-31,IN,India,SEARO,91650.0,10746183,935.0,154274
2021-02-07,IN,India,SEARO,80180.0,10826363,722.0,154996
2021-02-14,IN,India,SEARO,78577.0,10904940,646.0,155642
2021-02-21,IN,India,SEARO,86711.0,10991651,660.0,156302
2021-02-28,IN,India,SEARO,105080.0,11096731,749.0,157051
2021-03-07,IN,India,SEARO,114068.0,11210799,705.0,157756
