Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-26,FR,France,EURO,3.0,3,0.0,0
2020-02-02,FR,France,EURO,3.0,6,0.0,0
2020-02-09,FR,France,EURO,6.0,12,0.0,0
2020-02-16,FR,France,EURO,0.0,12,0.0,0
2020-02-23,FR,France,EURO,4.0,16,0.0,0
2020-03-01,FR,France,EURO,0.0,16,0.0,0
2020-03-08,FR,France,EURO,0.0,16,0.0,0
2020-03-15,FR,France,EURO,0.0,16,43.0,43
2020-03-22,FR,France,EURO,0.0,16,670.0,713
2020-03-29,FR,France,EURO,0.0,16,1999.0,2712
2020-04-05,FR,France,EURO,0.0,16,3276.0,5988
2020-04-12,FR,France,EURO,0.0,16,3344.0,9332
2020-04-19,FR,France,EURO,0.0,16,2730.0,12062
2020-04-26,FR,France,EURO,0.0,16,2096.0,14158
2020-05-03,FR,France,EURO,0.0,16,1406.0,15564
2020-05-10,FR,France,EURO,0.0,16,1056.0,16620
2020-05-17,FR,France,EURO,677.0,693,810.0,17430
2020-05-24,FR,France,EURO,4340.0,5033,562.0,17992
2020-05-31,FR,France,EURO,3436.0,8469,471.0,18463
2020-06-07,FR,France,EURO,2745.0,11214,331.0,18794
2020-06-14,FR,France,EURO,2627.0,13841,258.0,19052
2020-06-21,FR,France,EURO,2267.0,16108,159.0,19211
2020-06-28,FR,France,EURO,2024.0,18132,111.0,19322
2020-07-05,FR,France,EURO,2324.0,20456,100.0,19422
2020-07-12,FR,France,EURO,2853.0,23309,120.0,19542
2020-07-19,FR,France,EURO,3510.0,26819,94.0,19636
2020-07-26,FR,France,EURO,5565.0,32384,98.0,19734
2020-08-02,FR,France,EURO,7676.0,40060,77.0,19811
2020-08-09,FR,France,EURO,10899.0,50959,69.0,19880
2020-08-16,FR,France,EURO,16650.0,67609,92.0,19972
2020-08-23,FR,France,EURO,25208.0,92817,118.0,20090
2020-08-30,FR,France,EURO,37753.0,130570,111.0,20201
2020-09-06,FR,France,EURO,50197.0,180767,126.0,20327
2020-09-13,FR,France,EURO,61432.0,242199,258.0,20585
2020-09-20,FR,France,EURO,73481.0,315680,429.0,21014
2020-09-27,FR,France,EURO,72509.0,388189,559.0,21573
2020-10-04,FR,France,EURO,74819.0,463008,561.0,22134
2020-10-11,FR,France,EURO,116159.0,579167,690.0,22824
2020-10-18,FR,France,EURO,167835.0,747002,963.0,23787
2020-10-25,FR,France,EURO,261329.0,1008331,1774.0,25561
2020-11-01,FR,France,EURO,332505.0,1340836,3154.0,28715
2020-11-08,FR,France,EURO,303116.0,1643952,4794.0,33509
2020-11-15,FR,France,EURO,176429.0,1820381,5487.0,38996
2020-11-22,FR,France,EURO,114947.0,1935328,5602.0,44598
2020-11-29,FR,France,EURO,77077.0,2012405,4679.0,49277
2020-12-06,FR,France,EURO,71372.0,2083777,3963.0,53240
2020-12-13,FR,France,EURO,77674.0,2161451,3792.0,57032
2020-12-20,FR,France,EURO,92919.0,2254370,3383.0,60415
2020-12-27,FR,France,EURO,83888.0,2338258,3119.0,63534
2021-01-03,FR,France,EURO,88948.0,2427206,2915.0,66449
2021-01-10,FR,France,EURO,122263.0,2549469,3429.0,69878
2021-01-17,FR,France,EURO,118842.0,2668311,3454.0,73332
2021-01-24,FR,France,EURO,130149.0,2798460,3414.0,76746
2021-01-31,FR,France,EURO,132624.0,2931084,3159.0,79905
2021-02-07,FR,France,EURO,128451.0,3059535,3069.0,82974
2021-02-14,FR,France,EURO,110436.0,3169971,2892.0,85866
2021-02-21,FR,France,EURO,117551.0,3287522,2516.0,88382
2021-02-28,FR,France,EURO,127696.0,3415218,2151.0,90533
2021-03-07,FR,France,EURO,124259.0,3539477,2033.0,92566
2021-03-14,FR,France,EURO,142978.0,3682455,1872.0,94438
2021-03-21,FR,France,EURO,183823.0,3866278,1799.0,96237
2021-03-28,FR,France,EURO,223964.0,4090242,1834.0,98071
2021-04-04,FR,France,EURO,242407.0,4332649,1959.0,100030
2021-04-11,FR,France,EURO,203218.0,4535867,2120.0,102150
2021-04-18,FR,France,EURO,202154.0,4738021,1967.0,104117
2021-04-25,FR,France,EURO,179462.0,4917483,2062.0,106179
2021-05-02,FR,France,EURO,142908.0,5060391,1954.0,108133
2021-05-09,FR,France,EURO,106629.0,5167020,1533.0,109666
2021-05-16,FR,France,EURO,80870.0,5247890,1189.0,110855
2021-05-23,FR,France,EURO,83455.0,5331345,940.0,111795
2021-05-30,FR,France,EURO,60391.0,5391736,772.0,112567
2021-06-06,FR,France,EURO,46483.0,5438219,565.0,113132
2021-06-13,FR,France,EURO,27004.0,5465223,355.0,113487
2021-06-20,FR,France,EURO,14820.0,5480043,309.0,113796
2021-06-27,FR,France,EURO,10690.0,5490733,234.0,114030
2021-07-04,FR,France,EURO,13906.0,5504639,171.0,114201
2021-07-11,FR,France,EURO,23318.0,5527957,142.0,114343
2021-07-18,FR,France,EURO,46656.0,5574613,96.0,114439
2021-07-25,FR,France,EURO,118078.0,5692691,119.0,114558
2021-08-01,FR,France,EURO,143183.0,5835874,240.0,114798
2021-08-08,FR,France,EURO,147135.0,5983009,282.0,115080
2021-08-15,FR,France,EURO,150930.0,6133939,353.0,115433
2021-08-22,FR,France,EURO,133571.0,6267510,699.0,116132
2021-08-29,FR,France,EURO,112124.0,6379634,464.0,116596
2021-09-05,FR,France,EURO,85782.0,6465416,489.0,117085
2021-09-12,FR,France,EURO,64820.0,6530236,437.0,117522
2021-09-19,FR,France,EURO,46736.0,6576972,386.0,117908
2021-09-26,FR,France,EURO,36114.0,6613086,331.0,118239
2021-10-03,FR,France,EURO,30916.0,6644002,276.0,118515
2021-10-10,FR,France,EURO,26346.0,6670348,191.0,118706
2021-10-17,FR,France,EURO,31095.0,6701443,175.0,118881
2021-10-24,FR,France,EURO,34241.0,6735684,179.0,119060
2021-10-31,FR,France,EURO,38425.0,6774109,177.0,119237
2021-11-07,FR,France,EURO,48057.0,6822166,212.0,119449
2021-11-14,FR,France,EURO,66361.0,6888527,233.0,119682
2021-11-21,FR,France,EURO,119701.0,7008228,317.0,119999
2021-11-28,FR,France,EURO,195222.0,7203450,454.0,120453
2021-12-05,FR,France,EURO,288799.0,7492249,619.0,121072
2021-12-12,FR,France,EURO,337285.0,7829534,903.0,121975
2021-12-19,FR,France,EURO,360652.0,8190186,1033.0,123008
2021-12-26,FR,France,EURO,519740.0,8709926,1157.0,124165
2022-01-02,FR,France,EURO,1140724.0,9850650,1315.0,125480
2022-01-09,FR,France,EURO,1726217.0,11576867,1484.0,126964
2022-01-16,FR,France,EURO,1961912.0,13538779,1499.0,128463
2022-01-23,FR,France,EURO,2417043.0,15955822,1658.0,130121
2022-01-30,FR,France,EURO,2329374.0,18285196,1933.0,132054
2022-02-06,FR,France,EURO,1707588.0,19992784,1996.0,134050
2022-02-13,FR,France,EURO,958639.0,20951423,1988.0,136038
2022-02-20,FR,France,EURO,565947.0,21517370,1745.0,137783
2022-02-27,FR,France,EURO,393549.0,21910919,1331.0,139114
2022-03-06,FR,France,EURO,348284.0,22259203,1094.0,140208
2022-03-13,FR,France,EURO,419228.0,22678431,820.0,141028
2022-03-20,FR,France,EURO,586328.0,23264759,792.0,141820
2022-03-27,FR,France,EURO,851993.0,24116752,727.0,142547
2022-04-03,FR,France,EURO,959358.0,25076110,801.0,143348
2022-04-10,FR,France,EURO,928373.0,26004483,788.0,144136
2022-04-17,FR,France,EURO,822438.0,26826921,852.0,144988
2022-04-24,FR,France,EURO,539161.0,27366082,889.0,145877
2022-05-01,FR,France,EURO,376510.0,27742592,867.0,146744
2022-05-08,FR,France,EURO,264928.0,28007520,749.0,147493
2022-05-15,FR,France,EURO,216715.0,28224235,614.0,148107
2022-05-22,FR,France,EURO,162239.0,28386474,466.0,148573
2022-05-29,FR,France,EURO,113355.0,28499829,300.0,148873
2022-06-05,FR,France,EURO,148073.0,28647902,329.0,149202
2022-06-12,FR,France,EURO,193813.0,28841715,237.0,149439
2022-06-19,FR,France,EURO,297927.0,29139642,265.0,149704
2022-06-26,FR,France,EURO,456705.0,29596347,291.0,149995
2022-07-03,FR,France,EURO,731586.0,30327933,264.0,150259
2022-07-10,FR,France,EURO,903969.0,31231902,424.0,150683
2022-07-17,FR,France,EURO,683784.0,31915686,585.0,151268
2022-07-24,FR,France,EURO,522296.0,32437982,731.0,151999
2022-07-31,FR,France,EURO,329431.0,32767413,597.0,152596
2022-08-07,FR,France,EURO,212195.0,32979608,529.0,153125
2022-08-14,FR,France,EURO,151186.0,33130794,518.0,153643
2022-08-21,FR,France,EURO,119216.0,33250010,413.0,154056
2022-08-28,FR,France,EURO,117039.0,33367049,317.0,154373
2022-09-04,FR,France,EURO,106571.0,33473620,302.0,154675
2022-09-11,FR,France,EURO,112374.0,33585994,263.0,154938
2022-09-18,FR,France,EURO,188853.0,33774847,202.0,155140
2022-09-25,FR,France,EURO,230732.0,34005579,217.0,155357
2022-10-02,FR,France,EURO,310114.0,34315693,217.0,155574
2022-10-09,FR,France,EURO,385474.0,34701167,314.0,155888
2022-10-16,FR,France,EURO,392073.0,35093240,414.0,156302
2022-10-23,FR,France,EURO,348646.0,35441886,522.0,156824
2022-10-30,FR,France,EURO,222885.0,35664771,495.0,157319
2022-11-06,FR,France,EURO,153617.0,35818388,445.0,157764
2022-11-13,FR,France,EURO,151055.0,35969443,397.0,158161
2022-11-20,FR,France,EURO,221689.0,36191132,469.0,158630
2022-11-27,FR,France,EURO,293632.0,36484764,455.0,159085
2022-12-04,FR,France,EURO,384070.0,36868834,485.0,159570
2022-12-11,FR,France,EURO,429679.0,37298513,569.0,160139
2022-12-18,FR,France,EURO,391192.0,37689705,721.0,160860
2022-12-25,FR,France,EURO,299842.0,37989547,807.0,161667
2023-01-01,FR,France,EURO,151707.0,38141254,808.0,162475
