Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BW,Botswana,AFRO,0.0,0,0.0,0
2020-01-12,BW,Botswana,AFRO,0.0,0,0.0,0
2020-01-19,BW,Botswana,AFRO,0.0,0,0.0,0
2020-01-26,BW,Botswana,AFRO,0.0,0,0.0,0
2020-02-02,BW,Botswana,AFRO,0.0,0,0.0,0
2020-02-09,BW,Botswana,AFRO,0.0,0,0.0,0
2020-02-16,BW,Botswana,AFRO,0.0,0,0.0,0
2020-02-23,BW,Botswana,AFRO,0.0,0,0.0,0
2020-03-01,BW,Botswana,AFRO,0.0,0,0.0,0
2020-03-08,BW,Botswana,AFRO,0.0,0,0.0,0
2020-03-15,BW,Botswana,AFRO,0.0,0,0.0,0
2020-03-22,BW,Botswana,AFRO,0.0,0,0.0,0
2020-03-29,BW,Botswana,AFRO,0.0,0,1.0,1
2020-04-05,BW,Botswana,AFRO,4.0,4,0.0,1
2020-04-12,BW,Botswana,AFRO,9.0,13,0.0,1
2020-04-19,BW,Botswana,AFRO,2.0,15,0.0,1
2020-04-26,BW,Botswana,AFRO,7.0,22,0.0,1
2020-05-03,BW,Botswana,AFRO,1.0,23,0.0,1
2020-05-10,BW,Botswana,AFRO,0.0,23,0.0,1
2020-05-17,BW,Botswana,AFRO,2.0,25,0.0,1
2020-05-24,BW,Botswana,AFRO,7.0,32,0.0,1
2020-05-31,BW,Botswana,AFRO,3.0,35,0.0,1
2020-06-07,BW,Botswana,AFRO,5.0,40,0.0,1
2020-06-14,BW,Botswana,AFRO,37.0,77,0.0,1
2020-06-21,BW,Botswana,AFRO,12.0,89,0.0,1
2020-06-28,BW,Botswana,AFRO,36.0,125,0.0,1
2020-07-05,BW,Botswana,AFRO,150.0,275,0.0,1
2020-07-12,BW,Botswana,AFRO,39.0,314,0.0,1
2020-07-19,BW,Botswana,AFRO,208.0,522,0.0,1
2020-07-26,BW,Botswana,AFRO,164.0,686,0.0,1
2020-08-02,BW,Botswana,AFRO,208.0,894,1.0,2
2020-08-09,BW,Botswana,AFRO,172.0,1066,0.0,2
2020-08-16,BW,Botswana,AFRO,148.0,1214,1.0,3
2020-08-23,BW,Botswana,AFRO,94.0,1308,0.0,3
2020-08-30,BW,Botswana,AFRO,325.0,1633,3.0,6
2020-09-06,BW,Botswana,AFRO,369.0,2002,2.0,8
2020-09-13,BW,Botswana,AFRO,461.0,2463,3.0,11
2020-09-20,BW,Botswana,AFRO,104.0,2567,2.0,13
2020-09-27,BW,Botswana,AFRO,354.0,2921,0.0,13
2020-10-04,BW,Botswana,AFRO,251.0,3172,3.0,16
2020-10-11,BW,Botswana,AFRO,47.0,3219,2.0,18
2020-10-18,BW,Botswana,AFRO,2023.0,5242,3.0,21
2020-10-25,BW,Botswana,AFRO,681.0,5923,4.0,25
2020-11-01,BW,Botswana,AFRO,719.0,6642,0.0,25
2020-11-08,BW,Botswana,AFRO,1193.0,7835,3.0,28
2020-11-15,BW,Botswana,AFRO,390.0,8225,0.0,28
2020-11-22,BW,Botswana,AFRO,1369.0,9594,4.0,32
2020-11-29,BW,Botswana,AFRO,819.0,10413,1.0,33
2020-12-06,BW,Botswana,AFRO,1132.0,11545,3.0,36
2020-12-13,BW,Botswana,AFRO,956.0,12501,2.0,38
2020-12-20,BW,Botswana,AFRO,712.0,13213,0.0,38
2020-12-27,BW,Botswana,AFRO,677.0,13890,1.0,39
2021-01-03,BW,Botswana,AFRO,1332.0,15222,5.0,44
2021-01-10,BW,Botswana,AFRO,829.0,16051,4.0,48
2021-01-17,BW,Botswana,AFRO,1899.0,17950,23.0,71
2021-01-24,BW,Botswana,AFRO,2046.0,19996,43.0,114
2021-01-31,BW,Botswana,AFRO,1627.0,21623,25.0,139
2021-02-07,BW,Botswana,AFRO,2198.0,23821,30.0,169
2021-02-14,BW,Botswana,AFRO,1381.0,25202,46.0,215
2021-02-21,BW,Botswana,AFRO,181.0,25383,55.0,270
2021-02-28,BW,Botswana,AFRO,5344.0,30727,57.0,327
2021-03-07,BW,Botswana,AFRO,2185.0,32912,86.0,413
2021-03-14,BW,Botswana,AFRO,2087.0,34999,34.0,447
2021-03-21,BW,Botswana,AFRO,2560.0,37559,38.0,485
2021-03-28,BW,Botswana,AFRO,2282.0,39841,83.0,568
2021-04-04,BW,Botswana,AFRO,1869.0,41710,48.0,616
2021-04-11,BW,Botswana,AFRO,1734.0,43444,47.0,663
2021-04-18,BW,Botswana,AFRO,1258.0,44702,21.0,684
2021-04-25,BW,Botswana,AFRO,4366.0,49068,18.0,702
2021-05-02,BW,Botswana,AFRO,1265.0,50333,22.0,724
2021-05-09,BW,Botswana,AFRO,1205.0,51538,27.0,751
2021-05-16,BW,Botswana,AFRO,1780.0,53318,23.0,774
2021-05-23,BW,Botswana,AFRO,2084.0,55402,35.0,809
2021-05-30,BW,Botswana,AFRO,2114.0,57516,40.0,849
