Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-01-12,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-01-19,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-01-26,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-02-02,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-02-09,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-02-16,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-02-23,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-03-01,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-03-08,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-03-15,BM,Bermuda,AMRO,0.0,0,0.0,0
2020-03-22,BM,Bermuda,AMRO,2.0,2,0.0,0
2020-03-29,BM,Bermuda,AMRO,15.0,17,0.0,0
2020-04-05,BM,Bermuda,AMRO,18.0,35,0.0,0
2020-04-12,BM,Bermuda,AMRO,13.0,48,4.0,4
2020-04-19,BM,Bermuda,AMRO,35.0,83,1.0,5
2020-04-26,BM,Bermuda,AMRO,16.0,99,0.0,5
2020-05-03,BM,Bermuda,AMRO,15.0,114,1.0,6
2020-05-10,BM,Bermuda,AMRO,4.0,118,1.0,7
2020-05-17,BM,Bermuda,AMRO,5.0,123,2.0,9
2020-05-24,BM,Bermuda,AMRO,5.0,128,0.0,9
2020-05-31,BM,Bermuda,AMRO,12.0,140,0.0,9
2020-06-07,BM,Bermuda,AMRO,1.0,141,0.0,9
2020-06-14,BM,Bermuda,AMRO,1.0,142,0.0,9
2020-06-21,BM,Bermuda,AMRO,4.0,146,0.0,9
2020-06-28,BM,Bermuda,AMRO,0.0,146,0.0,9
2020-07-05,BM,Bermuda,AMRO,0.0,146,0.0,9
2020-07-12,BM,Bermuda,AMRO,4.0,150,0.0,9
2020-07-19,BM,Bermuda,AMRO,2.0,152,0.0,9
2020-07-26,BM,Bermuda,AMRO,1.0,153,0.0,9
2020-08-02,BM,Bermuda,AMRO,3.0,156,0.0,9
2020-08-09,BM,Bermuda,AMRO,2.0,158,0.0,9
2020-08-16,BM,Bermuda,AMRO,1.0,159,0.0,9
2020-08-23,BM,Bermuda,AMRO,8.0,167,0.0,9
2020-08-30,BM,Bermuda,AMRO,1.0,168,0.0,9
2020-09-06,BM,Bermuda,AMRO,7.0,175,0.0,9
2020-09-13,BM,Bermuda,AMRO,2.0,177,0.0,9
2020-09-20,BM,Bermuda,AMRO,1.0,178,0.0,9
2020-09-27,BM,Bermuda,AMRO,3.0,181,0.0,9
2020-10-04,BM,Bermuda,AMRO,0.0,181,0.0,9
2020-10-11,BM,Bermuda,AMRO,3.0,184,0.0,9
2020-10-18,BM,Bermuda,AMRO,1.0,185,0.0,9
2020-10-25,BM,Bermuda,AMRO,5.0,190,0.0,9
2020-11-01,BM,Bermuda,AMRO,9.0,199,0.0,9
2020-11-08,BM,Bermuda,AMRO,10.0,209,0.0,9
2020-11-15,BM,Bermuda,AMRO,13.0,222,0.0,9
2020-11-22,BM,Bermuda,AMRO,5.0,227,0.0,9
2020-11-29,BM,Bermuda,AMRO,20.0,247,0.0,9
2020-12-06,BM,Bermuda,AMRO,41.0,288,0.0,9
2020-12-13,BM,Bermuda,AMRO,103.0,391,0.0,9
2020-12-20,BM,Bermuda,AMRO,125.0,516,0.0,9
2020-12-27,BM,Bermuda,AMRO,45.0,561,0.0,9
2021-01-03,BM,Bermuda,AMRO,43.0,604,1.0,10
2021-01-10,BM,Bermuda,AMRO,42.0,646,2.0,12
2021-01-17,BM,Bermuda,AMRO,24.0,670,0.0,12
2021-01-24,BM,Bermuda,AMRO,16.0,686,0.0,12
2021-01-31,BM,Bermuda,AMRO,5.0,691,0.0,12
2021-02-07,BM,Bermuda,AMRO,1.0,692,0.0,12
2021-02-14,BM,Bermuda,AMRO,2.0,694,0.0,12
2021-02-21,BM,Bermuda,AMRO,5.0,699,0.0,12
2021-02-28,BM,Bermuda,AMRO,6.0,705,0.0,12
2021-03-07,BM,Bermuda,AMRO,17.0,722,0.0,12
2021-03-14,BM,Bermuda,AMRO,13.0,735,0.0,12
2021-03-21,BM,Bermuda,AMRO,32.0,767,0.0,12
2021-03-28,BM,Bermuda,AMRO,180.0,947,0.0,12
2021-04-04,BM,Bermuda,AMRO,415.0,1362,0.0,12
2021-04-11,BM,Bermuda,AMRO,411.0,1773,2.0,14
2021-04-18,BM,Bermuda,AMRO,287.0,2060,3.0,17
2021-04-25,BM,Bermuda,AMRO,255.0,2315,6.0,23
2021-05-02,BM,Bermuda,AMRO,78.0,2393,5.0,28
2021-05-09,BM,Bermuda,AMRO,41.0,2434,2.0,30
2021-05-16,BM,Bermuda,AMRO,32.0,2466,2.0,32
2021-05-23,BM,Bermuda,AMRO,22.0,2488,0.0,32
2021-05-30,BM,Bermuda,AMRO,3.0,2491,0.0,32
