Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SG,Singapore,WPRO,0.0,0,0.0,0
2020-01-12,SG,Singapore,WPRO,0.0,0,0.0,0
2020-01-19,SG,Singapore,WPRO,0.0,0,0.0,0
2020-01-26,SG,Singapore,WPRO,4.0,4,0.0,0
2020-02-02,SG,Singapore,WPRO,14.0,18,0.0,0
2020-02-09,SG,Singapore,WPRO,22.0,40,0.0,0
2020-02-16,SG,Singapore,WPRO,32.0,72,0.0,0
2020-02-23,SG,Singapore,WPRO,17.0,89,0.0,0
2020-03-01,SG,Singapore,WPRO,13.0,102,0.0,0
2020-03-08,SG,Singapore,WPRO,36.0,138,0.0,0
2020-03-15,SG,Singapore,WPRO,74.0,212,0.0,0
2020-03-22,SG,Singapore,WPRO,220.0,432,2.0,2
2020-03-29,SG,Singapore,WPRO,370.0,802,0.0,2
2020-04-05,SG,Singapore,WPRO,387.0,1189,3.0,5
2020-04-12,SG,Singapore,WPRO,1110.0,2299,3.0,8
2020-04-19,SG,Singapore,WPRO,3693.0,5992,3.0,11
2020-04-26,SG,Singapore,WPRO,6701.0,12693,1.0,12
2020-05-03,SG,Singapore,WPRO,4855.0,17548,5.0,17
2020-05-10,SG,Singapore,WPRO,4912.0,22460,3.0,20
2020-05-17,SG,Singapore,WPRO,4896.0,27356,2.0,22
2020-05-24,SG,Singapore,WPRO,3712.0,31068,1.0,23
2020-05-31,SG,Singapore,WPRO,3298.0,34366,0.0,23
2020-06-07,SG,Singapore,WPRO,3161.0,37527,2.0,25
2020-06-14,SG,Singapore,WPRO,2670.0,40197,1.0,26
2020-06-21,SG,Singapore,WPRO,1636.0,41833,0.0,26
2020-06-28,SG,Singapore,WPRO,1413.0,43246,0.0,26
2020-07-05,SG,Singapore,WPRO,1418.0,44664,0.0,26
2020-07-12,SG,Singapore,WPRO,1118.0,45782,0.0,26
2020-07-19,SG,Singapore,WPRO,1873.0,47655,1.0,27
2020-07-26,SG,Singapore,WPRO,2233.0,49888,0.0,27
2020-08-02,SG,Singapore,WPRO,2624.0,52512,0.0,27
2020-08-09,SG,Singapore,WPRO,2417.0,54929,0.0,27
2020-08-16,SG,Singapore,WPRO,732.0,55661,0.0,27
2020-08-23,SG,Singapore,WPRO,605.0,56266,0.0,27
2020-08-30,SG,Singapore,WPRO,451.0,56717,0.0,27
2020-09-06,SG,Singapore,WPRO,265.0,56982,0.0,27
2020-09-13,SG,Singapore,WPRO,375.0,57357,0.0,27
2020-09-20,SG,Singapore,WPRO,201.0,57558,0.0,27
2020-09-27,SG,Singapore,WPRO,127.0,57685,0.0,27
2020-10-04,SG,Singapore,WPRO,115.0,57800,0.0,27
