Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-01-12,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-01-19,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-01-26,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-02-02,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-02-09,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-02-16,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-02-23,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-03-01,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-03-08,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-03-15,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-03-22,GW,Guinea-Bissau,AFRO,0.0,0,0.0,0
2020-03-29,GW,Guinea-Bissau,AFRO,2.0,2,0.0,0
2020-04-05,GW,Guinea-Bissau,AFRO,16.0,18,0.0,0
2020-04-12,GW,Guinea-Bissau,AFRO,21.0,39,0.0,0
2020-04-19,GW,Guinea-Bissau,AFRO,11.0,50,0.0,0
2020-04-26,GW,Guinea-Bissau,AFRO,2.0,52,0.0,0
2020-05-03,GW,Guinea-Bissau,AFRO,208.0,260,2.0,2
2020-05-10,GW,Guinea-Bissau,AFRO,382.0,642,1.0,3
2020-05-17,GW,Guinea-Bissau,AFRO,271.0,913,0.0,3
2020-05-24,GW,Guinea-Bissau,AFRO,201.0,1114,3.0,6
2020-05-31,GW,Guinea-Bissau,AFRO,142.0,1256,2.0,8
2020-06-07,GW,Guinea-Bissau,AFRO,112.0,1368,4.0,12
2020-06-14,GW,Guinea-Bissau,AFRO,115.0,1483,3.0,15
2020-06-21,GW,Guinea-Bissau,AFRO,58.0,1541,2.0,17
2020-06-28,GW,Guinea-Bissau,AFRO,73.0,1614,4.0,21
2020-07-05,GW,Guinea-Bissau,AFRO,176.0,1790,4.0,25
2020-07-12,GW,Guinea-Bissau,AFRO,52.0,1842,0.0,25
2020-07-19,GW,Guinea-Bissau,AFRO,108.0,1950,1.0,26
2020-07-26,GW,Guinea-Bissau,AFRO,4.0,1954,0.0,26
2020-08-02,GW,Guinea-Bissau,AFRO,27.0,1981,1.0,27
2020-08-09,GW,Guinea-Bissau,AFRO,71.0,2052,2.0,29
2020-08-16,GW,Guinea-Bissau,AFRO,65.0,2117,4.0,33
2020-08-23,GW,Guinea-Bissau,AFRO,32.0,2149,0.0,33
2020-08-30,GW,Guinea-Bissau,AFRO,0.0,2149,0.0,33
2020-09-06,GW,Guinea-Bissau,AFRO,96.0,2245,5.0,38
2020-09-13,GW,Guinea-Bissau,AFRO,30.0,2275,1.0,39
2020-09-20,GW,Guinea-Bissau,AFRO,28.0,2303,0.0,39
2020-09-27,GW,Guinea-Bissau,AFRO,21.0,2324,0.0,39
2020-10-04,GW,Guinea-Bissau,AFRO,38.0,2362,0.0,39
2020-10-11,GW,Guinea-Bissau,AFRO,23.0,2385,1.0,40
2020-10-18,GW,Guinea-Bissau,AFRO,18.0,2403,1.0,41
2020-10-25,GW,Guinea-Bissau,AFRO,0.0,2403,0.0,41
2020-11-01,GW,Guinea-Bissau,AFRO,10.0,2413,0.0,41
2020-11-08,GW,Guinea-Bissau,AFRO,1.0,2414,1.0,42
2020-11-15,GW,Guinea-Bissau,AFRO,5.0,2419,1.0,43
2020-11-22,GW,Guinea-Bissau,AFRO,2.0,2421,0.0,43
2020-11-29,GW,Guinea-Bissau,AFRO,1.0,2422,0.0,43
2020-12-06,GW,Guinea-Bissau,AFRO,19.0,2441,1.0,44
2020-12-13,GW,Guinea-Bissau,AFRO,3.0,2444,0.0,44
2020-12-20,GW,Guinea-Bissau,AFRO,3.0,2447,0.0,44
2020-12-27,GW,Guinea-Bissau,AFRO,0.0,2447,1.0,45
2021-01-03,GW,Guinea-Bissau,AFRO,8.0,2455,0.0,45
2021-01-10,GW,Guinea-Bissau,AFRO,23.0,2478,0.0,45
2021-01-17,GW,Guinea-Bissau,AFRO,0.0,2478,0.0,45
2021-01-24,GW,Guinea-Bissau,AFRO,55.0,2533,0.0,45
2021-01-31,GW,Guinea-Bissau,AFRO,102.0,2635,0.0,45
