Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-01-12,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-01-19,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-01-26,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-02-02,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-02-09,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-02-16,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-02-23,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-03-01,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-03-08,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-03-15,PG,Papua New Guinea,WPRO,0.0,0,0.0,0
2020-03-22,PG,Papua New Guinea,WPRO,1.0,1,0.0,0
2020-03-29,PG,Papua New Guinea,WPRO,0.0,1,0.0,0
2020-04-05,PG,Papua New Guinea,WPRO,0.0,1,0.0,0
2020-04-12,PG,Papua New Guinea,WPRO,1.0,2,0.0,0
2020-04-19,PG,Papua New Guinea,WPRO,5.0,7,0.0,0
2020-04-26,PG,Papua New Guinea,WPRO,1.0,8,0.0,0
2020-05-03,PG,Papua New Guinea,WPRO,0.0,8,0.0,0
2020-05-10,PG,Papua New Guinea,WPRO,0.0,8,0.0,0
2020-05-17,PG,Papua New Guinea,WPRO,0.0,8,0.0,0
2020-05-24,PG,Papua New Guinea,WPRO,0.0,8,0.0,0
2020-05-31,PG,Papua New Guinea,WPRO,0.0,8,0.0,0
2020-06-07,PG,Papua New Guinea,WPRO,0.0,8,0.0,0
2020-06-14,PG,Papua New Guinea,WPRO,0.0,8,0.0,0
2020-06-21,PG,Papua New Guinea,WPRO,1.0,9,0.0,0
2020-06-28,PG,Papua New Guinea,WPRO,2.0,11,0.0,0
2020-07-05,PG,Papua New Guinea,WPRO,0.0,11,0.0,0
2020-07-12,PG,Papua New Guinea,WPRO,0.0,11,0.0,0
2020-07-19,PG,Papua New Guinea,WPRO,4.0,15,0.0,0
2020-07-26,PG,Papua New Guinea,WPRO,24.0,39,0.0,0
2020-08-02,PG,Papua New Guinea,WPRO,52.0,91,2.0,2
2020-08-09,PG,Papua New Guinea,WPRO,97.0,188,1.0,3
2020-08-16,PG,Papua New Guinea,WPRO,87.0,275,0.0,3
2020-08-23,PG,Papua New Guinea,WPRO,86.0,361,1.0,4
2020-08-30,PG,Papua New Guinea,WPRO,98.0,459,1.0,5
2020-09-06,PG,Papua New Guinea,WPRO,29.0,488,0.0,5
2020-09-13,PG,Papua New Guinea,WPRO,20.0,508,0.0,5
2020-09-20,PG,Papua New Guinea,WPRO,8.0,516,1.0,6
2020-09-27,PG,Papua New Guinea,WPRO,16.0,532,1.0,7
2020-10-04,PG,Papua New Guinea,WPRO,8.0,540,0.0,7
2020-10-11,PG,Papua New Guinea,WPRO,10.0,550,0.0,7
2020-10-18,PG,Papua New Guinea,WPRO,31.0,581,0.0,7
2020-10-25,PG,Papua New Guinea,WPRO,2.0,583,0.0,7
2020-11-01,PG,Papua New Guinea,WPRO,6.0,589,0.0,7
2020-11-08,PG,Papua New Guinea,WPRO,8.0,597,0.0,7
2020-11-15,PG,Papua New Guinea,WPRO,3.0,600,0.0,7
2020-11-22,PG,Papua New Guinea,WPRO,4.0,604,0.0,7
2020-11-29,PG,Papua New Guinea,WPRO,41.0,645,0.0,7
2020-12-06,PG,Papua New Guinea,WPRO,26.0,671,0.0,7
2020-12-13,PG,Papua New Guinea,WPRO,49.0,720,1.0,8
2020-12-20,PG,Papua New Guinea,WPRO,40.0,760,0.0,8
2020-12-27,PG,Papua New Guinea,WPRO,20.0,780,1.0,9
2021-01-03,PG,Papua New Guinea,WPRO,19.0,799,0.0,9
2021-01-10,PG,Papua New Guinea,WPRO,12.0,811,0.0,9
2021-01-17,PG,Papua New Guinea,WPRO,23.0,834,0.0,9
2021-01-24,PG,Papua New Guinea,WPRO,15.0,849,0.0,9
2021-01-31,PG,Papua New Guinea,WPRO,18.0,867,0.0,9
2021-02-07,PG,Papua New Guinea,WPRO,28.0,895,0.0,9
2021-02-14,PG,Papua New Guinea,WPRO,27.0,922,0.0,9
2021-02-21,PG,Papua New Guinea,WPRO,134.0,1056,0.0,9
2021-02-28,PG,Papua New Guinea,WPRO,260.0,1316,0.0,9
2021-03-07,PG,Papua New Guinea,WPRO,354.0,1670,0.0,9
2021-03-14,PG,Papua New Guinea,WPRO,599.0,2269,0.0,9
2021-03-21,PG,Papua New Guinea,WPRO,1305.0,3574,0.0,9
2021-03-28,PG,Papua New Guinea,WPRO,1775.0,5349,0.0,9
2021-04-04,PG,Papua New Guinea,WPRO,1689.0,7038,0.0,9
2021-04-11,PG,Papua New Guinea,WPRO,1564.0,8602,0.0,9
2021-04-18,PG,Papua New Guinea,WPRO,1197.0,9799,0.0,9
2021-04-25,PG,Papua New Guinea,WPRO,1036.0,10835,0.0,9
2021-05-02,PG,Papua New Guinea,WPRO,438.0,11273,96.0,105
2021-05-09,PG,Papua New Guinea,WPRO,1220.0,12493,16.0,121
2021-05-16,PG,Papua New Guinea,WPRO,1713.0,14206,0.0,121
2021-05-23,PG,Papua New Guinea,WPRO,1016.0,15222,15.0,136
2021-05-30,PG,Papua New Guinea,WPRO,688.0,15910,26.0,162
2021-06-06,PG,Papua New Guinea,WPRO,481.0,16391,2.0,164
2021-06-13,PG,Papua New Guinea,WPRO,337.0,16728,1.0,165
2021-06-20,PG,Papua New Guinea,WPRO,310.0,17038,8.0,173
2021-06-27,PG,Papua New Guinea,WPRO,152.0,17190,1.0,174
2021-07-04,PG,Papua New Guinea,WPRO,64.0,17254,0.0,174
2021-07-11,PG,Papua New Guinea,WPRO,80.0,17334,5.0,179
2021-07-18,PG,Papua New Guinea,WPRO,130.0,17464,8.0,187
2021-07-25,PG,Papua New Guinea,WPRO,173.0,17637,5.0,192
2021-08-01,PG,Papua New Guinea,WPRO,138.0,17775,0.0,192
2021-08-08,PG,Papua New Guinea,WPRO,31.0,17806,0.0,192
2021-08-15,PG,Papua New Guinea,WPRO,26.0,17832,0.0,192
2021-08-22,PG,Papua New Guinea,WPRO,94.0,17926,0.0,192
2021-08-29,PG,Papua New Guinea,WPRO,86.0,18012,0.0,192
2021-09-05,PG,Papua New Guinea,WPRO,253.0,18265,0.0,192
2021-09-12,PG,Papua New Guinea,WPRO,147.0,18412,4.0,196
2021-09-19,PG,Papua New Guinea,WPRO,521.0,18933,13.0,209
2021-09-26,PG,Papua New Guinea,WPRO,590.0,19523,17.0,226
2021-10-03,PG,Papua New Guinea,WPRO,1509.0,21032,8.0,234
2021-10-10,PG,Papua New Guinea,WPRO,2117.0,23149,11.0,245
2021-10-17,PG,Papua New Guinea,WPRO,1708.0,24857,64.0,309
2021-10-24,PG,Papua New Guinea,WPRO,3038.0,27895,26.0,335
2021-10-31,PG,Papua New Guinea,WPRO,1918.0,29813,35.0,370
2021-11-07,PG,Papua New Guinea,WPRO,2080.0,31893,43.0,413
2021-11-14,PG,Papua New Guinea,WPRO,1061.0,32954,23.0,436
2021-11-21,PG,Papua New Guinea,WPRO,1518.0,34472,93.0,529
2021-11-28,PG,Papua New Guinea,WPRO,618.0,35090,16.0,545
2021-12-05,PG,Papua New Guinea,WPRO,481.0,35571,5.0,550
2021-12-12,PG,Papua New Guinea,WPRO,366.0,35937,36.0,586
2021-12-19,PG,Papua New Guinea,WPRO,69.0,36006,3.0,589
2021-12-26,PG,Papua New Guinea,WPRO,124.0,36130,1.0,590
2022-01-02,PG,Papua New Guinea,WPRO,62.0,36192,0.0,590
2022-01-09,PG,Papua New Guinea,WPRO,215.0,36407,1.0,591
2022-01-16,PG,Papua New Guinea,WPRO,39.0,36446,5.0,596
2022-01-23,PG,Papua New Guinea,WPRO,102.0,36548,1.0,597
2022-01-30,PG,Papua New Guinea,WPRO,597.0,37145,0.0,597
2022-02-06,PG,Papua New Guinea,WPRO,587.0,37732,0.0,597
2022-02-13,PG,Papua New Guinea,WPRO,939.0,38671,13.0,610
2022-02-20,PG,Papua New Guinea,WPRO,1433.0,40104,26.0,636
2022-02-27,PG,Papua New Guinea,WPRO,1186.0,41290,2.0,638
2022-03-06,PG,Papua New Guinea,WPRO,364.0,41654,1.0,639
2022-03-13,PG,Papua New Guinea,WPRO,565.0,42219,0.0,639
2022-03-20,PG,Papua New Guinea,WPRO,627.0,42846,0.0,639
2022-03-27,PG,Papua New Guinea,WPRO,433.0,43279,1.0,640
2022-04-03,PG,Papua New Guinea,WPRO,109.0,43388,3.0,643
2022-04-10,PG,Papua New Guinea,WPRO,138.0,43526,0.0,643
2022-04-17,PG,Papua New Guinea,WPRO,137.0,43663,6.0,649
2022-04-24,PG,Papua New Guinea,WPRO,137.0,43800,0.0,649
2022-05-01,PG,Papua New Guinea,WPRO,17.0,43817,1.0,650
2022-05-08,PG,Papua New Guinea,WPRO,22.0,43839,1.0,651
2022-05-15,PG,Papua New Guinea,WPRO,342.0,44181,0.0,651
2022-05-22,PG,Papua New Guinea,WPRO,222.0,44403,0.0,651
2022-05-29,PG,Papua New Guinea,WPRO,45.0,44448,0.0,651
